the_geom,Score,Match_type,Side,Status,X,Y,Match_addr,ARC_Street,Number,Name,Installed
POINT (-78.88616994404398 42.924083997235286),69,A,,M,1067181.4849788807,1065553.6150529534,HOYT ST & POTOMAC AVE,Hoyt / Potomac,D43,Hoyt / Potomac,2008-2010
POINT (-78.89944602334518 42.91519505027494),85,A,,M,1063613.5149755552,1062327.1250499487,NIAGARA ST & W FERRY ST,Niagara / W Ferry St,D44,Niagara / W Ferry St,2008-2010
POINT (-78.88391857299983 42.94758205583667),75,A,R,M,1067815.0850514155,1074115.3257164864,669 HERTEL AVE,669 Hertel (Lobby),D97 - 99,669 Hertel,1/1/2012
POINT (-78.81364504475518 42.94116003130473),69,M,,M,1086623.224996984,1071715.4250586852,BAILEY AVE & BERKSHIRE AVE,BAILEY / BERKSHIRE,E1,Bailey / Berkshire,2008-2010
POINT (-78.81366699837832 42.94585700259119),69,A,,T,1086622.0349969827,1073427.2550602853,BAILEY AVE & MINNESOTA AVE,Bailey / Minnesota,E2,Bailey / Minnesota,2008-2010
POINT (-78.81366095930721 42.92544895211217),69,A,,M,1086603.284996964,1065989.5350533575,BAILEY AVE & SCHRECK AVE,Bailey / Schreck,E3,Bailey / Schreck,2008-2010
POINT (-78.82515593568795 42.94802699304667),69,A,,M,1083548.2549941167,1074226.7450610325,CORDOVA AVE & LISBON AVE,Cordova / Lisbon,E4,Cordova / Lisbon,2008-2010
POINT (-78.82911900609669 42.92213599469859),55,M,,M,1082459.644993104,1064793.8450522348,E DELAVAN AVE & GRIDER ST,DELAVAN / GRIDER,E5,Delavan / Grider,2008-2010
POINT (-78.84696104925872 42.92199798490348),55,M,,M,1077680.6149886586,1064758.0150522068,E DELAVAN AVE & OAKGROVE AVE,DELAVAN / OAKGROVE,E6,Delavan / Oakgrove,2008-2010
POINT (-78.84808698332841 42.91471200892298),55,M,,M,1077370.6849883683,1062103.595049739,E FERRY ST & WOHLERS AVE,FERRY / WOHLERS,E7,Ferry / Wohlers,2008-2010
POINT (-78.83936767663236 42.93372268083006),69,A,,T,1079759.78499059,1069024.7950561792,FILLMORE AVE & JEWETT AVE,Fillmore / Jewett,E8,Fillmore / Jewett,2008-2010
POINT (-78.85397401396273 42.91111296481234),55,M,,M,1075789.474986896,1060796.9450485185,JEFFERSON AVE & E UTICA ST,JEFFERSON / UTICA,E9,Jefferson / Utica,2008-2010
POINT (-78.85398899423609 42.914962990957186),85,M,,M,1075789.974986896,1062200.0950498283,JEFFERSON AVE & E FERRY ST,JEFFERSON / E. FERRY ST,E10,Jefferson / E. Ferry,2008-2010
POINT (-78.8255829910873 42.95145203762629),69,A,,M,1083437.5149940178,1075475.3350621834,MAIN ST & WINSPEAR AVE,Main / Winspear,E11,Main / Winspear,2008-2010
POINT (-78.80693034868736 42.92262271799133),100,PP,,M,1088403.1998334988,1064954.6527414417,,DELAVAN / COURTLAND,E12,Delavan / Courtland,2008-2010
POINT (-78.83797596127008 42.94026102615511),69,A,,M,1080107.364990916,1071406.5650584027,MAIN ST & AMHERST ST,Main / Amherst,E13,Main / Amherst,2008-2010
POINT (-78.80630395417884 42.94094597477089),69,M,,M,1088588.674998816,1071632.1150586084,KENSINGTON AVE & ORLEANS ST,KENSINGTON / ORLEANS,E14,Kensington / Orleans,2008-2010
POINT (-78.82767503932868 42.94957801230472),69,A,,M,1082875.4549934976,1074793.9650615454,MAIN ST & HIGHGATE AVE,Main / Highgate,E15,Main / Highgate,2008-2010
POINT (-78.82163602270711 42.949207975852474),69,A,,M,1084491.8649949953,1074654.4650614187,WINSPEAR AVE & PARKRIDGE AVE,Winspear / Parkridge,E16,Winspear / Parkridge,2008-2010
POINT (-78.82775597820803 42.95485399227095),69,A,,M,1082859.3749934807,1076716.8650633395,ENGLEWOOD AVE & BRUCE ST,Englewood / Bruce,E17,Englewood / Bruce,2008-2010
POINT (-78.8393050134954 42.93903797824576),69,A,,M,1079750.1349905804,1070961.9050579816,MAIN ST & FILLMORE AVE,Main / Fillmore,E18,Main / Fillmore,2008-2010
POINT (-78.82995001769571 42.947620031305654),69,A,,T,1082264.2949929237,1074082.1550608948,MAIN ST & LASALLE AVE,Main / LaSalle,E19,Main / LaSalle,2008-2010
POINT (-78.82377203734464 42.95307198450539),69,A,,M,1083924.024994474,1076064.3350627348,MAIN ST & ENGLEWOOD AVE,Main / Englewood,E20,Main / Englewood,2008-2010
POINT (-78.81085197952854 42.945832038166856),69,A,,M,1087375.7049976848,1073416.1050602645,MINNESOTA AVE & SUFFOLK ST,Minnesota / Suffolk,E30,Minnesota / Suffolk,2008-2010
POINT (-78.81362193359075 42.9379650196116),69,A,,M,1086626.224996984,1070550.9850576073,KENSINGTON AVE & BAILEY AVE,Kensington / Bailey,E31,Kensington / Bailey,2008-2010
POINT (-78.8033440054447 42.94215095956406),69,A,,M,1089382.3849995546,1072069.1850590184,KENSINGTON AVE & EGGERT RD,Kensington / Eggert,E32,Kensington / Eggert,2008-2010
POINT (-78.82428995122383 42.922567032667786),55,M,,M,1083753.5249943137,1064947.1950523779,E DELAVAN AVE & WYOMING AVE,DELAVAN / WYOMING,E33,Delavan / Wyoming,2008-2010
POINT (-78.81364693984754 42.933110971056415),69,A,,M,1086614.6849969774,1068781.9450559467,BAILEY AVE & BERWYN AVE,Bailey / Berwyn,E34,Bailey / Berwyn,2008-2010
POINT (-78.8184190284511 42.92705799552677),69,A,,M,1085330.5749957822,1066579.475053899,OLYMPIC AVE & ALMA AVE,Olympic / Alma,E35,Olympic / Alma,2008-2010
POINT (-78.81349660286944 42.92259414722804),100,PP,,M,1086644.4580201933,1064948.982838087,,BAILEY / DELAVAN,E36,Bailey / Delavan,2008-2010
POINT (-78.81870894501417 42.93590898873517),69,A,,M,1085261.9549957179,1069805.4350569025,KENSINGTON AVE & OLYMPIC AVE,Kensington / Olympic,E37,Kensington / Olympic,2008-2010
POINT (-78.85398398504273 42.919346003124375),69,A,,M,1075796.4549869,1063797.4750513062,JEFFERSON AVE & NORTHLAND AVE,Jefferson / Northland,E38,Jefferson / Northland,2008-2010
POINT (-78.80337003346733 42.92275504499285),55,M,,M,1089356.9249995276,1065000.3650524393,E DELAVAN AVE & HARRIET AVE,DELAVAN / HARRIET,E39,Delavan / Harriet,2008-2010
POINT (-78.84665698553546 42.93224402453561),55,M,,M,1077773.7449887395,1068491.9250556827,MAIN ST & W OAKWOOD PL,MAIN / OAKWOOD,E40,Main / Oakwood,2008-2010
POINT (-78.81364792939456 42.92985897122222),69,M,,M,1086611.1749969758,1067596.7550548539,BAILEY AVE & LANGFIELD DR,BAILEY/LANGFIELD,E97 - 99,2676 Bailey,1/1/2012
POINT (-78.86381610581634 42.878400716382444),100,PP,,M,1073113.1414741934,1048883.6792797302,,341 SENECA,A91 - 96,341 Seneca,
POINT (-78.81680098506263 42.91139697670157),69,A,,M,1085748.0849961713,1060870.6250485927,GENESEE ST & MAY ST,Genesee / May,C14,Genesee / May,1/1/2013
POINT (-78.80826593348087 42.91482197950323),69,A,,M,1088037.874998305,1062112.635049738,GENESEE ST & THEODORE ST,Genesee / Theodore,C18,Genesee / Theodore,1/1/2013
POINT (-78.83617698016651 42.903626963098176),69,A,,M,1080548.9449913278,1058053.8550459668,GENESEE ST & WALDEN AVE,Genesee / Walden,C19,Genesee / Walden,11/1/2012
POINT (-78.83930096632098 42.92748400106914),64,A,,M,1079738.4049905725,1066751.055054061,FILLMORE AVE & KENSINGTON AVE,Filmore / Kensington,E23,Filmore / Kensington,11/1/2012
POINT (-78.83909732983211 42.93606895696093),64,A,,T,1079767.9749906026,1069871.0550569743,FILLMORE AVE & RODNEY AVE,Filmore / Rodney,E24,Filmore / Rodney,12/1/2012
POINT (-78.86733002894815 42.92227298744889),55,M,,M,1072225.24498358,1064875.9950523153,DELAWARE AVE & W DELAVAN AVE,DELAWARE / DELAVAN,D20,Delaware / Delavan,11/1/2013
POINT (-78.84357995687462 42.903717000924374),69,A,,M,1078565.6149894819,1058092.7150460035,BEST ST & GUILFORD ST,Best / Guilford,C20,Best / Guilford,6/1/2013
POINT (-78.83153199533602 42.939184989509485),85,A,,M,1081831.6749925204,1071009.2450580224,BENNETT VILLAGE TER & HILL ST,Bennett Village Ter / Hill,E25,Bennett Village Ter / Hill,1/1/2013
POINT (-78.8622770536288 42.917461995155755),69,A,,M,1073572.8349848315,1063118.105050683,MAIN ST & HARVARD PL,Main / Harvard,D21,Main / Harvard,3/1/2013
POINT (-78.86405205933845 42.92063604241698),69,A,,T,1073101.2349843942,1064276.4650517628,LAFAYETTE AVE & OXFORD AVE,Lafayette / Oxford,D22,Lafayette / Oxford,3/1/2013
POINT (-78.89047098778215 42.9158909879165),61,A,,M,1066018.614977792,1062571.855050169,GRANT ST & FERGUSON AVE,Grnat / Ferguson,D23,Grant / Ferguson,3/1/2013
POINT (-78.88750706229418 42.93909098951573),69,A,,M,1066843.1349785626,1071024.2050580457,AMHERST ST & PETER ST,Amherst / Peter,D24,Amherst / Peter,5/1/2013
POINT (-78.87701302474747 42.92792503514268),69,A,,M,1069638.9149811678,1066944.7850542367,ELMWOOD AVE & FOREST AVE,Elmwood / Forest,D25,Elmwood / Forest,10/1/2013
POINT (-78.8345180306582 42.89400800150439),69,A,,M,1080982.9549917318,1054546.9150426984,BROADWAY ST & PLAYTER ST,Broadway / Playter,C21,Broadway / Playter,1/1/2013
POINT (-78.8189650184089 42.896286988556795),69,M,,M,1085152.944995612,1055365.4350434542,BROADWAY ST & WICK ST,BROADWAY / WICK,C22,Broadway / Wick,1/1/2013
POINT (-78.88842100643915 42.91250098629912),69,A,,M,1066563.2649783045,1061334.3750490174,MASSACHUSETTS AVE & SHIELDS AVE,Massachusetts / Shields,B23,Massachusetts / Shields,2/1/2013
POINT (-78.88506595526239 42.914200979869555),69,A,,M,1067464.254979141,1061950.695049584,MASSACHUSETTS AVE & CHENANGO ST,Massachusetts / Chenango,B24,Massachusetts / Chenango,2/1/2013
POINT (-78.81758797298951 42.94373303939243),69,M,,M,1085570.074996002,1072656.075059563,COMSTOCK AVE & DARTMOUTH AVE,COMSTOCK / DARTMOUTH,E26,Comstock / Dartmouth,3/1/2013
