OBJECTID,ID,NAME,ADDRESS,DEPARTMENT,INSTALL_YEAR,PS_14,PS_32,VDRVP_W_S,TOTAL_SITE_SERVERS,MONITOR,EXTERIOR_CAM,INTERIOR_CAM,PTZ_CAM,TOTAL_STATIONARY_CAM,TOTAL_SITE_CAMERA,TOTAL_SITE_CAMERA2,AVAILABLE_CAMERA_PORT,DESCRIPTION,X,Y,LATITUDE,LONGITUDE
81,0,Ofc. of the State Superintendent of Ed.,"810 1st St, NE",PSD, , , , , , ,0,6, , ,6, , , ,0,0,0,0
82,0,Benning Terrace,4550 G Street SE,DCHA, , , , , , , , , , , , , , ,0,0,0,0
83,0,Hopkins Apartments,1430 L Street SE,DCHA, , , , , , , , , , , , , , ,0,0,0,0
84,0,Kentucky Courts,340 13th Street SE,DCHA, , , , , , , , , , , , , , ,0,0,0,0
85,0,Montana Terrace,"1625 Montana Ave, NE",DCHA, , , , , , , , , , , , , , ,0,0,0,0
86,0,Villager,"3810 Southern Ave, SE",DCHA, , , , , , , , , , , , , , ,0,0,0,0
87,508,Meyer Elementary School,2501 11TH STREET NW,DCPS,2003,0,1,0,1,1,3,11,0,14,46,32,18,DCPS,397694.0004928,139439.49999653,38.9228259,-77.02659252
88,0,Woodland Terrace,"2313 Ainger Place, SE",DCHA, , , , , , , , , , , , , , ,0,0,0,0
90,53,CCTV- 53,23rd & Constitution St. N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,395652.795,136028.4044,38.892037,-77.05017
119,450,9S,"I-395, CAMERA DIR - SOUTH",DDOT, , , , , , , , , , , , , , ,398766.35040192,135742.34169761,38.88952277,-77.01421966
120,419,Hearst Elementary School,3950 37TH STREET NW,DCPS,2003,0,1,0,1,1,3,11,0,14,14,32,18,DCPS,393761.8894963,141428.27999643,38.94072231,-77.07195523
121,421,Duke Ellington Senior High School,3500 R STREET NW,DCPS,1999,0,1,0,1,2,1,15,0,16,22,32,16,DCPS,393902.40049624,138400.26999742,38.91344604,-77.07030756
122,422,Murch Elementary School,4810 36TH STREET NW,DCPS,2003,0,1,0,1,1,5,9,0,14,14,32,18,DCPS,393925.57050233,142783.67000397,38.95293319,-77.0700792
123,38,CCTV- 38,16th St. and Upshur St. N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,396835.7932,141556.5806,38.941871,-77.036479
124,39,CCTV- 39,16th St. Harvard St. & Mt. Pleasant NW,DDOT,,,,,,,,,,,,,,DDOT CCTV,396845.6684,139781.4128,38.925858,-77.036462
125,40,CCTV- 40,16th Street and Alaska Ave. N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,396863.703,145222.0969,38.974937,-77.036279
126,41,CCTV- 41,16th Street and Scott Circle N.W.,DDOT,,,,,,,,,,,,,,DDOT CCTV,396834.7827,139029.3455,38.919134,-77.036479
127,216,CCTV,700 block of 19th Str NW,MPD, , , , , , , , , , , , , ,Homeland Security,396171.42310046,136803.21150038,38.899072,-77.044136
128,218,CCTV,400 block of L’Enfant Plaza SW,MPD, , , , , , , , , , , , , ,Homeland Security,397762.50330087,135280.24020051,38.885358,-77.025789
